id_registro,dia_semana,turno,quantidade_lembretes,atraso_medio,medicamento_atrasado
D001,Quarta,Manhã,1,6,0
D002,Sexta,Noite,2,11,0
D003,Quinta,Noite,2,11,0
D004,Quarta,Manhã,1,11,0
D005,Terça,Tarde,5,30,0
D006,Segunda,Noite,3,12,0
D007,Terça,Tarde,4,13,0
D008,Terça,Noite,3,26,0
D009,Terça,Noite,1,6,0
D010,Quarta,Tarde,2,11,0
D011,Quinta,Manhã,5,18,0
D012,Quarta,Tarde,5,24,1
D013,Domingo,Noite,5,35,0
D014,Terça,Noite,5,14,0
D015,Sexta,Manhã,5,11,0
D016,Domingo,Manhã,5,16,0
D017,Sexta,Noite,4,24,0
D018,Domingo,Tarde,2,24,0
D019,Segunda,Manhã,2,17,0
D020,Sábado,Tarde,4,10,0
D021,Quinta,Tarde,2,22,0
D022,Domingo,Manhã,4,7,0
D023,Quarta,Noite,4,27,1
D024,Segunda,Manhã,5,24,0
D025,Terça,Noite,1,11,0
D026,Segunda,Noite,5,27,0
D027,Sábado,Noite,3,18,0
D028,Quarta,Noite,4,29,0
D029,Sábado,Manhã,1,12,0
D030,Terça,Noite,2,18,0
D031,Sexta,Manhã,3,25,0
D032,Quarta,Manhã,1,3,0
D033,Quinta,Tarde,2,15,0
D034,Quarta,Tarde,4,9,0
D035,Sábado,Tarde,1,12,0
D036,Terça,Tarde,2,4,0
D037,Segunda,Manhã,3,25,0
D038,Sábado,Noite,5,31,1
D039,Terça,Tarde,5,27,0
D040,Quarta,Tarde,4,26,1
D041,Quinta,Manhã,5,25,0
D042,Domingo,Noite,4,32,0
D043,Quarta,Noite,1,18,0
D044,Sábado,Tarde,1,24,0
D045,Segunda,Manhã,2,6,0
D046,Segunda,Manhã,1,15,0
D047,Sábado,Tarde,2,19,0
D048,Quarta,Tarde,4,23,0
D049,Quarta,Tarde,3,31,0
D050,Terça,Noite,4,37,0
D051,Sábado,Noite,3,26,1
D052,Sexta,Manhã,2,2,0
D053,Quarta,Noite,2,20,0
D054,Terça,Manhã,2,19,0
D055,Quinta,Manhã,1,15,0
D056,Quarta,Tarde,1,11,0
D057,Quarta,Tarde,3,31,0
D058,Sábado,Noite,3,20,1
D059,Sábado,Noite,2,23,0
D060,Sexta,Manhã,5,11,0
D061,Segunda,Noite,4,18,0
D062,Quarta,Noite,1,25,0
D063,Sexta,Manhã,2,13,0
D064,Domingo,Noite,3,33,0
D065,Quarta,Manhã,3,10,0
D066,Quarta,Tarde,2,17,0
D067,Quinta,Manhã,2,10,0
D068,Segunda,Tarde,3,8,0
D069,Quinta,Noite,4,14,0
D070,Domingo,Tarde,1,22,0
D071,Segunda,Manhã,2,21,0
D072,Domingo,Tarde,1,20,0
D073,Terça,Noite,4,20,0
D074,Segunda,Tarde,4,3,0
D075,Segunda,Tarde,2,11,0
D076,Segunda,Noite,3,22,1
D077,Terça,Manhã,5,18,0
D078,Quinta,Noite,3,8,0
D079,Terça,Manhã,2,7,0
D080,Terça,Tarde,5,26,0
D081,Domingo,Manhã,1,4,0
D082,Terça,Manhã,5,26,0
D083,Segunda,Tarde,2,15,0
D084,Quinta,Noite,2,25,0
D085,Domingo,Manhã,2,11,0
D086,Terça,Tarde,2,20,0
D087,Quinta,Manhã,1,10,0
D088,Segunda,Manhã,5,18,0
D089,Segunda,Tarde,2,20,0
D090,Terça,Manhã,1,1,0
D091,Segunda,Manhã,3,10,0
D092,Segunda,Manhã,4,23,0
D093,Sexta,Manhã,5,12,0
D094,Terça,Tarde,2,19,0
D095,Terça,Tarde,3,23,0
D096,Segunda,Noite,3,23,0
D097,Terça,Noite,5,13,0
D098,Terça,Tarde,2,21,1
D099,Segunda,Manhã,3,9,0
D100,Domingo,Tarde,3,16,0
D101,Sábado,Tarde,2,14,0
D102,Domingo,Manhã,1,15,0
D103,Domingo,Manhã,4,23,0
D104,Segunda,Noite,2,14,0
D105,Quinta,Noite,1,11,0
D106,Domingo,Tarde,5,22,0
D107,Quarta,Noite,2,13,0
D108,Sexta,Manhã,1,6,0
D109,Sábado,Tarde,4,13,0
D110,Domingo,Tarde,4,12,0
D111,Quarta,Tarde,1,18,0
D112,Sábado,Noite,1,12,0
D113,Sexta,Manhã,1,14,0
D114,Domingo,Noite,4,20,1
D115,Quarta,Tarde,3,16,0
D116,Sexta,Tarde,4,16,0
D117,Quinta,Noite,1,7,0
D118,Terça,Noite,3,19,0
D119,Sábado,Noite,3,15,0
D120,Sábado,Noite,5,22,1
D121,Quinta,Noite,1,20,0
D122,Sexta,Noite,2,17,0
D123,Sábado,Noite,5,16,0
D124,Sábado,Tarde,1,20,0
D125,Sábado,Manhã,5,25,0
D126,Segunda,Manhã,5,22,0
D127,Quinta,Noite,3,24,0
D128,Terça,Tarde,1,6,0
D129,Quinta,Manhã,2,21,0
D130,Segunda,Noite,1,13,0
D131,Sexta,Manhã,4,17,0
D132,Quarta,Manhã,2,25,0
D133,Terça,Tarde,5,22,0
D134,Domingo,Manhã,4,18,0
D135,Terça,Noite,4,14,0
D136,Terça,Tarde,2,11,0
D137,Sexta,Manhã,1,10,0
D138,Segunda,Noite,2,16,0
D139,Terça,Manhã,4,18,0
D140,Sexta,Tarde,2,10,0
D141,Segunda,Tarde,2,25,1
D142,Quarta,Manhã,5,24,0
D143,Quinta,Manhã,2,12,0
D144,Quinta,Tarde,2,20,0
D145,Domingo,Manhã,2,25,0
D146,Domingo,Manhã,4,13,0
D147,Domingo,Noite,2,27,0
D148,Quarta,Manhã,5,29,0
D149,Terça,Manhã,3,19,0
D150,Quinta,Manhã,4,16,0
D151,Sexta,Manhã,5,22,0
D152,Quinta,Tarde,1,22,0
D153,Segunda,Noite,1,14,0
D154,Quinta,Tarde,1,17,0
D155,Quarta,Tarde,2,24,0
D156,Terça,Tarde,3,24,0
D157,Sábado,Noite,5,30,1
D158,Quarta,Tarde,4,20,0
D159,Segunda,Manhã,3,9,0
D160,Sexta,Tarde,1,21,0
D161,Quarta,Tarde,1,20,0
D162,Terça,Tarde,4,22,0
D163,Sábado,Noite,3,20,0
D164,Quinta,Manhã,2,27,0
D165,Domingo,Manhã,4,25,0
D166,Quarta,Tarde,4,15,0
D167,Terça,Manhã,2,15,0
D168,Sexta,Tarde,5,25,0
D169,Domingo,Noite,3,23,1
D170,Quinta,Tarde,5,12,0
D171,Segunda,Manhã,4,28,0
D172,Sexta,Noite,2,24,0
D173,Quarta,Manhã,4,7,0
D174,Quarta,Tarde,3,25,0
D175,Domingo,Manhã,4,5,0
D176,Sexta,Noite,2,14,0
D177,Segunda,Manhã,3,4,0
D178,Quinta,Tarde,1,6,0
D179,Segunda,Noite,5,20,0
D180,Segunda,Tarde,1,10,0
D181,Sexta,Manhã,2,14,0
D182,Terça,Manhã,4,17,0
D183,Quarta,Noite,3,18,0
D184,Sábado,Tarde,2,14,0
D185,Domingo,Noite,4,18,1
D186,Sábado,Noite,2,27,1
D187,Terça,Manhã,3,17,0
D188,Sexta,Noite,2,26,0
D189,Domingo,Manhã,1,9,0
D190,Terça,Noite,3,28,1
D191,Domingo,Noite,2,9,0
D192,Quinta,Noite,2,22,0
D193,Terça,Tarde,3,24,0
D194,Terça,Noite,5,24,1
D195,Quinta,Noite,5,23,1
D196,Sábado,Noite,4,18,0
D197,Quinta,Tarde,2,15,0
D198,Sexta,Tarde,4,25,0
D199,Segunda,Manhã,2,17,0
D200,Sábado,Tarde,5,23,1
D201,Domingo,Noite,1,24,0
D202,Sábado,Tarde,1,13,0
D203,Quarta,Tarde,5,16,0
D204,Sexta,Manhã,5,22,0
D205,Domingo,Tarde,3,18,0
D206,Terça,Noite,4,26,0
D207,Domingo,Manhã,2,9,0
D208,Quarta,Tarde,4,13,0
D209,Terça,Manhã,4,8,0
D210,Domingo,Tarde,2,21,0
D211,Segunda,Noite,4,31,0
D212,Domingo,Tarde,5,25,0
D213,Domingo,Manhã,3,19,0
D214,Domingo,Manhã,1,11,0
D215,Terça,Tarde,4,20,0
D216,Sábado,Manhã,1,3,0
D217,Quinta,Tarde,5,16,0
D218,Segunda,Noite,5,16,0
D219,Quarta,Noite,2,17,0
D220,Quinta,Tarde,4,16,0
D221,Quinta,Manhã,2,11,0
D222,Domingo,Manhã,1,3,0
D223,Sexta,Noite,2,30,1
D224,Quarta,Manhã,2,16,0
D225,Quarta,Noite,1,19,0
D226,Segunda,Tarde,3,32,1
D227,Quarta,Tarde,4,19,0
D228,Quinta,Noite,1,11,0
D229,Segunda,Noite,3,17,0
D230,Sábado,Tarde,5,18,0
D231,Quinta,Noite,3,26,0
D232,Sábado,Noite,5,36,1
D233,Sábado,Tarde,4,15,0
D234,Terça,Noite,5,33,1
D235,Segunda,Tarde,1,13,0
D236,Terça,Noite,3,30,0
D237,Terça,Noite,4,18,0
D238,Segunda,Manhã,5,12,0
D239,Sábado,Tarde,4,27,0
D240,Terça,Noite,4,28,1
