id_registro,dia_semana,turno,quantidade_lembretes,atraso_medio,medicamento_atrasado
R001,Quarta,Manhã,3,9,0
R002,Sexta,Noite,2,18,0
R003,Domingo,Manhã,5,26,1
R004,Sexta,Tarde,3,20,1
R005,Terça,Manhã,3,13,0
R006,Quinta,Manhã,4,16,1
R007,Terça,Manhã,2,3,0
R008,Quinta,Noite,1,12,0
R009,Segunda,Noite,1,16,1
R010,Segunda,Noite,4,19,1
R011,Quarta,Noite,4,33,1
R012,Sexta,Noite,3,18,0
R013,Terça,Tarde,1,14,0
R014,Terça,Noite,1,25,1
R015,Domingo,Noite,2,21,1
R016,Sábado,Tarde,5,23,1
R017,Sábado,Tarde,3,25,1
R018,Domingo,Manhã,2,8,0
R019,Quinta,Noite,5,23,1
R020,Segunda,Manhã,4,12,0
R021,Domingo,Manhã,2,13,0
R022,Sexta,Noite,5,21,1
R023,Quinta,Tarde,1,13,0
R024,Terça,Noite,1,23,1
R025,Domingo,Manhã,3,20,1
R026,Quinta,Tarde,3,12,1
R027,Quarta,Tarde,3,14,1
R028,Segunda,Tarde,3,8,0
R029,Quarta,Tarde,2,15,0
R030,Domingo,Manhã,4,1,0
R031,Quarta,Tarde,2,16,1
R032,Sábado,Tarde,2,15,0
R033,Domingo,Noite,1,18,1
R034,Segunda,Manhã,4,28,1
R035,Segunda,Tarde,2,8,0
R036,Segunda,Noite,2,26,1
R037,Domingo,Manhã,5,21,1
R038,Quinta,Tarde,3,17,1
R039,Terça,Tarde,2,20,1
R040,Segunda,Noite,1,24,1
R041,Domingo,Manhã,1,5,0
R042,Quinta,Noite,2,13,0
R043,Sábado,Tarde,5,29,1
R044,Domingo,Noite,5,22,1
R045,Quarta,Tarde,5,33,1
R046,Quarta,Tarde,4,21,1
R047,Quarta,Noite,5,28,1
R048,Sexta,Tarde,2,2,0
R049,Quinta,Noite,1,18,1
R050,Sexta,Manhã,1,0,0
R051,Quinta,Tarde,5,24,1
R052,Sábado,Manhã,1,8,0
R053,Sábado,Manhã,1,1,0
R054,Sexta,Manhã,3,0,0
R055,Quarta,Manhã,1,1,0
R056,Quarta,Manhã,5,7,0
R057,Segunda,Noite,4,17,1
R058,Terça,Manhã,5,19,1
R059,Terça,Manhã,3,2,0
R060,Quarta,Noite,2,17,0
R061,Domingo,Tarde,3,14,1
R062,Domingo,Manhã,4,31,1
R063,Quinta,Manhã,1,4,0
R064,Domingo,Tarde,2,12,0
R065,Sexta,Tarde,2,17,0
R066,Quinta,Manhã,3,23,1
R067,Sábado,Tarde,3,10,0
R068,Sábado,Manhã,2,15,1
R069,Sábado,Manhã,1,0,0
R070,Sexta,Noite,2,25,1
R071,Terça,Manhã,2,1,0
R072,Domingo,Tarde,3,13,0
R073,Segunda,Tarde,3,17,1
R074,Quarta,Tarde,4,21,0
R075,Domingo,Manhã,1,0,1
R076,Sábado,Manhã,3,7,0
R077,Quinta,Noite,4,15,1
R078,Sexta,Tarde,3,8,0
R079,Quarta,Tarde,3,21,1
R080,Segunda,Manhã,3,0,0
R081,Domingo,Tarde,2,7,0
R082,Terça,Tarde,5,15,1
R083,Domingo,Manhã,3,10,0
R084,Segunda,Tarde,5,26,1
R085,Quinta,Manhã,4,14,0
R086,Quarta,Tarde,2,12,0
R087,Domingo,Manhã,2,10,0
R088,Sexta,Tarde,2,5,0
R089,Quinta,Tarde,1,3,0
R090,Quarta,Tarde,2,5,0
R091,Quarta,Manhã,5,17,0
R092,Domingo,Tarde,1,6,0
R093,Quarta,Tarde,1,20,1
R094,Sábado,Tarde,1,15,1
R095,Sábado,Manhã,2,20,1
R096,Domingo,Manhã,2,0,0
R097,Sábado,Noite,1,15,0
R098,Quinta,Noite,3,21,1
R099,Domingo,Noite,1,15,1
R100,Segunda,Noite,4,16,0
R101,Quarta,Manhã,2,15,0
R102,Sexta,Manhã,5,26,1
R103,Segunda,Tarde,4,20,1
R104,Quarta,Manhã,3,8,0
